id,passageId,skillId,questionTypeId,"question","potentialAnswers","correctAnswers",atLeast,difficulty,disabled,"rationale","updatedAt","createdAt",commonCoreId
4816,753,5,1,"Which word best describes Lochlan's mood in this passage?","[\"Excited\", \"Confident\", \"Worried\", \"Curious\"]","[\"Curious\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4817,758,3,1,"How did Ariana and Asher get rid of the bats?","[\"They became brother and sister\", \"They held hands\", \"They swatted at them\", \"They turned on a lamp\"]","[\"They held hands\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4818,758,13,1,"Ariana swats \"yet another bat away as it nips her shoulder.\" Which of the following is the best synonym for \"nips\" as it is used here?","[\"Tips\", \"Bites\", \"Brushes\", \"Swipes\"]","[\"Bites\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4819,758,20,1,"Why was this attack so unusual for Ariana?","[\"She didn't know who was causing it\", \"She is usually the one attacking bats\", \"Usually only her brother attacks her\", \"Animals never want to harm her\"]","[\"Animals never want to harm her\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4820,758,14,1,"Why did the author put some of the text in italics?","[\"To highlight that text as the most important\", \"To emphasize unfamiliar or new words\", \"To show that they are a character's thoughts\", \"To show that they are a character's dialogue\"]","[\"To show that they are a character's thoughts\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4821,760,5,1,"How do you think Ariana felt when she said “Oh Asher, what have we done”?
","[\"Angry\", \"Curious\", \"Joyful\", \"Terrified\"]","[\"Terrified\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4822,760,8,1,"What do you think most likely happened right before this passage?","[\"Ariana and Asher did something to free Elora from her stone statue.\", \"Gwendolyn and Lochlan did something to free Elora from her stone statue.\", \"Ariana and Asher tried to stop Elora from being freed from her stone statue.\", \"Elora made herself into a stone statue.\"]","[\"Ariana and Asher did something to free Elora from her stone statue.\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4823,758,3,1,"What is happening to Ariana?","[\"She is being attacked by bats\", \"She is being attacked by her brother\", \"Her brother is attacking bats\", \"Something is following her\"]","[\"She is being attacked by bats\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4824,760,1,1,"What have Ariana and Asher done?","[\"Something very good\", \"Something very bad\", \"Something that won't make much difference\"]","[\"Something very bad\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4825,760,20,4,"Which colors appeared in the sky? Select all that apply.","[\"Blue\", \"Yellow\", \"Green\", \"Pink\"]","[\"Yellow\", \"Green\", \"Pink\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4826,760,8,1,"Why do the twins cover their ears?","[\"The stone crack made a loud noise\", \"The thunder was too loud\", \"The great moan from Elora was too loud\", \"They were afraid they would fall off\"]","[\"The great moan from Elora was too loud\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4827,760,14,1,"Why did the author include so many \"o\"s in the word \"fools\"?","[\"It was a mistake\", \"To show that the word was very drawn out when spoken\", \"To show that the word should be emphasized\", \"To show that Elora said it very loudly\"]","[\"To show that the word was very drawn out when spoken\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4828,757,2,1,"How were the golden drops moving at the beginning of the passage?","[\"Recklessly\", \"Raggedly\", \"Quickly\", \"Slowly\"]","[\"Slowly\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4829,757,5,1,"How does Elora feel about climbing the staircase?","[\"Cautious\", \"Confident\", \"Excited\", \"Terrified\"]","[\"Cautious\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4830,759,8,1,"Where is this scene most likely taking place?","[\"Underwater\", \"In the sky\", \"In the forest\", \"In a town\"]","[\"Underwater\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4831,757,3,1,"True or False: Asher knows Elora's future.","[\"True\", \"False\"]","[\"True\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4832,759,5,1,"How did the sea witch feel when she saw the girl?","[\"Excited\", \"Furious\", \"Terrified\", \"Curious\"]","[\"Excited\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4833,757,13,1,"At the end of the passage it says, \"Elora reluctantly follows him.\" What does the word \"reluctantly\" mean?","[\"Enthusiastically\", \"Without really wanting to\", \"Quickly\", \"Quietly\"]","[\"Without really wanting to\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4834,757,5,1,"How does Asher feel in this scene?","[\"Cautious\", \"Angry\", \"Suspicious\", \"Curious\"]","[\"Curious\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4835,757,5,1,"How does Elora feel about Asher's comments about her future?","[\"Flattered\", \"Bored\", \"Resentful\", \"Furious\"]","[\"Resentful\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4836,756,2,1,"What color is Wink's hair?","[\"Orange/red\", \"Blonde\", \"Black\", \"Brown\", \"Green\"]","[\"Orange/red\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4837,759,12,1,"What does Teagan mean when she says: \"Stay cool\"?","[\"Remain at a low temperature\", \"Remain calm\", \"Keep yourself fashionable\", \"Don't get angry\"]","[\"Remain calm\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4838,759,5,1,"Which adjective best describes how Teagan is feeling in this passage?","[\"Nervous\", \"Curious\", \"Angry\", \"Joyful\"]","[\"Nervous\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4839,759,20,1,"What color is the octopus?","[\"Blue\", \"Black\", \"Purple\", \"Green\"]","[\"Purple\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4840,756,8,1,"What do the details in this passage tell the reader about Wink and Fidget's nap?","[\"They were asleep for a very short time\", \"They were asleep for an extremely long time\", \"They had not meant to fall asleep\", \"Something bad had happened while they were asleep\", \"Something good had happened while they were asleep\"]","[\"They were asleep for an extremely long time\"]",NULL,4,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4841,756,12,1,"Which kind of figurative language is used in the phrases \"softly snoring\" and \"napping nook\"?","[\"Simile\", \"Assonance\", \"Onomatopoeia\", \"Alliteration\"]","[\"Alliteration\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4842,756,2,1,"How big are Wink and Fidget?","[\"The size of a chipmunk\", \"The size of a tiger\", \"The size of a human baby\", \"The size of an adult human\"]","[\"The size of a chipmunk\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4843,756,3,1,"Who are Wink and Fidget?","[\"Humans\", \"Rose petals\", \"Pixies\", \"Spiders\"]","[\"Pixies\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4844,761,20,1,"True of False: Teagan has never been human.","[\"True\", \"False\"]","[\"False\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4845,761,2,1,"Based on the description in the passage, what sort of creature has Teagan become?","[\"A vampire\", \"A werewolf\", \"A witch\", \"A mermaid\", \"A sphynx\"]","[\"A mermaid\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4846,762,20,1,"Who spoke the phrases in quotation marks?","[\"Marigold's parents\", \"Marigold\", \"The person who made the quilt\", \"None of the above\"]","[\"Marigold's parents\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4847,761,13,1,"What is a \"looking glass\"?","[\"A pair of spectacles\", \"A magnifying glass\", \"A glass cup\", \"A mirror\"]","[\"A mirror\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4848,761,5,4,"Which adjectives best describe Teagan's reaction to seeing herself in the mirror? Select all that apply.","[\"Afraid\", \"Surprised\", \"Irritated\", \"Calm\", \"Excited\"]","[\"Surprised\", \"Excited\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4849,762,8,1,"Are Marigold's parents telling the truth about the quilt?","[\"Yes\", \"No\"]","[\"No\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4850,761,3,4,"What had changed about Teagan's appearance? Select all that apply.","[\"Her eyesight had gotten better\", \"Her hair was thicker\", \"She had a black scaly tail\", \"Her eyes were bluer\", \"Her white streak had turned silver\", \"Her nose was straighter\"]","[\"Her hair was thicker\", \"She had a black scaly tail\", \"Her eyes were bluer\", \"Her white streak had turned silver\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4851,762,8,1,"What do you think is the most likely reason that Marigold's parents tell her a different story about the quilt every time she asks?","[\"Because they cannot remember the real answer\", \"Because they do not want to tell her the truth\", \"Because they are making fun of her\", \"Because they like to keep secrets from her\"]","[\"Because they do not want to tell her the truth\"]",NULL,4,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4852,762,3,1,"Who is the main character in this story?","[\"The person who sewed the blanket\", \"The stork\", \"Marigold\", \"Marigold's parents\"]","[\"Marigold\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4853,762,8,1,"True or False: Marigold's family are humans.","[\"True\", \"False\"]","[\"False\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4854,766,13,1,"Reread this sentence: \"He’s stopped hoping for the day when they will wake, for, after more than a hundred years, hope is a hard thing to muster.\" Which of the following words is the best synonym for \"muster\"?
","[\"Gather\", \"Lose\", \"Imagine\", \"Eat\", \"Sleep\"]","[\"Gather\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4855,766,3,1,"How long have the main character's parents been asleep?","[\"Ten minutes\", \"A year\", \"Fifty years\", \"A hundred years\", \"Impossible to know\"]","[\"A hundred years\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4856,763,3,1,"Why was John's sister mad at him?","[\"John was spending all the money he was supposed to use for the animals.\", \"John was being rude to all of his patients.\", \"John's love of animals was losing them money.\", \"She hates animals.\"]","[\"John's love of animals was losing them money.\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4857,763,13,1,"Reread this sentence: \"That’s the fourth personage these animals have driven away.\" What does the word \"personage\" mean?","[\"A high level politician\", \"The way a person acts or behaves; their worldview\", \"A person, often of high status\", \"A number that represents a fraction of 100\"]","[\"A person, often of high status\"]",NULL,4,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4858,766,5,1,"Which adjective best describes the main character of this passage?","[\"Lonely\", \"Hopeful\", \"Courageous\", \"Foolish\"]","[\"Lonely\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4859,766,12,4,"Which two things are being compared in this sentence: \"It sounds like the low rumble of distant thunder.\"?
","[\"The sound of breathing\", \"The giants' footsteps\", \"The sound of thunder\", \"The giants' snores\"]","[\"The sound of thunder\", \"The giants' snores\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4860,762,1,1,"How do you think Marigold would most likely feel if she discovered who made her the quilt?","[\"Terrified\", \"Nervous\", \"Excited\", \"Angry\"]","[\"Excited\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4861,766,8,1,"What can the reader infer based on this sentence: \"He doesn’t remember the last time he heard the sound of his own voice.\"? 
","[\"He talks to himself often\", \"He lives with many other people\", \"He lives alone\", \"He lives with his siblings\"]","[\"He lives alone\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4862,766,8,1,"What can you infer from this sentence: “He hears nothing but for the soft snores of the sleeping giants, which include his parents.”?","[\"He was looking for giants\", \"His parents are giants\", \"Giants never snore\", \"He doesn't know where his parents are\"]","[\"His parents are giants\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4863,763,28,1,"What type of conflict is occuring in this scene?","[\"Person vs. Society\", \"Person vs. Person\", \"Person vs. Themselves\", \"Person vs. Nature\"]","[\"Person vs. Person\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4864,763,1,4,"Why do you think John's patients didn't like having animals at their doctor's visits? Select all that apply.","[\"The animals made the space unclean.\", \"The animals were very cute.\", \"The animals made a lot of noise.\", \"The animals caused a lot of stress.\"]","[\"The animals made the space unclean.\", \"The animals made a lot of noise.\", \"The animals caused a lot of stress.\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4865,763,8,1,"John's sister tells him that \"none of the best people\" will want him to be their doctor. What do you think she means by \"best people\"?","[\"People who are their friends\", \"People who are nice\", \"People who are sick\", \"People who are rich\"]","[\"People who are rich\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:46",NULL
4866,764,5,1,"In this passage, the Doctor's mood goes from ______ to ______.","[\"Confused, solemn\", \"Surprised, excited\", \"Excited, worried\", \"Disbelieving, angry\"]","[\"Surprised, excited\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4867,764,12,1,"What kind of figurative language is used to describe Polynesia's speech when she says: \"Ka-ka oi-ee, fee-fee\"?","[\"Onomatopoeia\", \"People's language\", \"Bird-language\", \"Alliteration\"]","[\"Onomatopoeia\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4868,764,3,4,"Who is Polynesia? Select all that apply.","[\"The Doctor's sister\", \"A parrot\", \"A patient\", \"Polly\", \"The person the Doctor is speaking to\"]","[\"A parrot\", \"Polly\", \"The person the Doctor is speaking to\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4869,765,8,1,"Why did it help that Chee-Chee \"had hands, and could do things like a man\"?","[\"Because most animal activities require hands\", \"Because he could use his hands to carry things\", \"Because most animals do not have hands\", \"Because most human chores require hands\"]","[\"Because most human chores require hands\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4870,764,15,1,"What was the tone of the Doctor's statement: “Good Gracious!”?","[\"Angry\", \"Excited\", \"Surprised\", \"Pleased\"]","[\"Surprised\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4871,764,1,1,"Why do you think the Doctor wanted to write down the Birds' ABCs?","[\"To learn how to stop birds from speaking to each other\", \"To teach Polynesia bird-language\", \"To help the birds teach each other bird-language\", \"To learn how to speak and understand bird-language\"]","[\"To learn how to speak and understand bird-language\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4872,765,2,1,"Which word do you think best describes the way Jip would move his tail to sweep the floor?","[\"Flopping\", \"Beating\", \"Wagging\", \"Dragging\"]","[\"Wagging\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4873,765,3,3,"Match the animal to their chores:

1) Cooking and mending
2) Dusting and making the beds
3) Keeping the accounts
4) Gardening
","[\"Owl\", \"Duck\", \"Monkey\", \"Pig\"]","[\"Monkey\", \"Duck\", \"Owl\", \"Pig\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4874,765,3,4,"Which of the following statements are true? Select all that apply.","[\"The animals kept the house tidy.\", \"The animals took better care of the house than anyone else.\", \"The animals hated their work at first.\", \"The animals got better at their jobs as time went on.\"]","[\"The animals kept the house tidy.\", \"The animals took better care of the house than anyone else.\", \"The animals got better at their jobs as time went on.\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4875,765,6,1,"This passage is an example of which genre? ","[\"Realistic fiction\", \"Fantasy\", \"Mystery\", \"Horror\"]","[\"Fantasy\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4876,770,8,1,"Which of the following phrases indicate that the two men might be in danger? Select all that apply. ","[\"“They’re after us, Bill”\", \"\\\"Across the narrow oblong box, each nodded to the other\\\"\", \"“The pale light of the short sunless day was beginning to fade\\\"\", \"“It might have been a lost soul wailing, had it not been invested with a certain sad fierceness and hungry eagerness”\"]","[\"“They’re after us, Bill”\", \"“It might have been a lost soul wailing, had it not been invested with a certain sad fierceness and hungry eagerness”\"]",NULL,5,0,NULL,"2019-11-11 16:01:15","2019-08-29 13:31:46",NULL
4877,770,8,1,"Do the men know what is chasing them?","[\"Yes\", \"No\", \"Impossible to know\"]","[\"Yes\"]",NULL,5,0,NULL,"2019-11-11 16:01:15","2019-08-29 13:31:46",NULL
4878,767,1,1,"What do you think will happen when the man in the story throws around the hot coals?","[\"The wolves will become confused and forget what they were doing.\", \"The coals will light up a path between the wolves.\", \"The wolves will eat them instead.\", \"The heat of the fire will keep the wolves at a distance.\"]","[\"The heat of the fire will keep the wolves at a distance.\"]",NULL,5,0,NULL,"2020-02-04 22:23:50","2019-08-29 13:31:46",30
4879,767,8,4,"Reread this sentence: \"And then he awoke to find the howling real.\" What does this tell the reader about what was happening right before? Select all that apply.","[\"The man was cuddling with the wolves.\", \"The man woke up to find wolves all around him.\", \"The man dreamt about a howling sound.\", \"The man was asleep.\"]","[\"The man dreamt about a howling sound.\", \"The man was asleep.\"]",NULL,5,0,NULL,"2020-02-04 22:28:15","2019-08-29 13:31:46",30
4880,767,3,4,"What actions did the main character take to protect himself? Select all that apply. ","[\"“Instinctively he leaped into the fire”\", \"“He scooped live coals into the air in all directions”\", \"“The teeth of one had closed upon his arm”\", \"“And then he awoke to find the howling real”\"]","[\"“Instinctively he leaped into the fire”\", \"“He scooped live coals into the air in all directions”\"]",NULL,5,0,NULL,"2020-02-04 22:36:05","2019-08-29 13:31:46",31
4881,770,12,1,"Which kind of imagery is most important to this passage?","[\"Visual\", \"Olfactory\", \"Auditory\", \"Gustatory\", \"Tactile\"]","[\"Auditory\"]",NULL,5,0,NULL,"2019-11-11 16:01:15","2019-08-29 13:31:46",NULL
4882,767,28,1,"What type of conflict is happening in this scene?","[\"Person vs. Self\", \"Person vs. Person\", \"Person vs. Society\", \"Person vs. Nature\"]","[\"Person vs. Nature\"]",NULL,5,0,NULL,"2020-02-04 22:29:57","2019-08-29 13:31:46",31
4883,770,12,4,"Reread this sentence: \"A second cry arose, piercing the silence with needle-like shrillness.\" Which two things are being compared in this phrase?","[\"The cry\", \"The silence\", \"A needle\", \"Shrillness\"]","[\"The cry\", \"A needle\"]",NULL,5,0,NULL,"2019-11-11 16:01:15","2019-08-29 13:31:46",NULL
4884,767,13,1,"The word \"semblance\" is related to the word \"resemblance.\" Reread this phrase: \"the campfire took on the semblance of a volcano.\" What does this phrase mean?
","[\"The campfire looked like a volcano.\", \"The campfire was as hot as a volcano.\", \"The man thought that the campfire was a volcano.\", \"The campfire was becoming a volcano.\"]","[\"The campfire looked like a volcano.\"]",NULL,5,0,NULL,"2020-02-04 22:31:17","2019-08-29 13:31:46",33
4885,770,15,1,"What mood do you think the author was trying to create in this passage?","[\"Celebratory\", \"Melancholy\", \"Chaotic\", \"Suspenseful\"]","[\"Suspenseful\"]",NULL,5,0,NULL,"2019-11-11 16:01:15","2019-08-29 13:31:46",NULL
4886,768,8,1,"Why do you think \"Cotton-tail\" was given that name? ","[\"Because her tail was long and thin\", \"Because her tail was big and rough\", \"Because her tail was round and soft\", \"Because her tail was made out of cotton\"]","[\"Because her tail was round and soft\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4887,768,10,1,"Based on the title, who do you think is the main character of this story? ","[\"Mrs. Rabbit\", \"Flopsy\", \"Peter\", \"Mopsy\", \"Cotton-tail\"]","[\"Peter\"]",NULL,3,0,NULL,"2019-11-20 18:57:20","2019-08-29 13:31:46",3
4888,768,5,4,"Which of the following adjectives describes Mrs. Rabbit?","[\"Goofy\", \"Protective\", \"Kind\", \"Cruel\"]","[\"Protective\", \"Kind\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4889,768,1,1,"What do you think is going to happen in this story?","[\"They are going to go into the fields until their Mother comes home.\", \"They are going to go into Mr. McGregor's garden.\", \"They are going to make a pie.\", \"They are going to go out with their Mother.\"]","[\"They are going to go into Mr. McGregor's garden.\"]",NULL,4,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4890,768,6,1,"In which genre do we usually find the phrase, \"Once upon a time\"?","[\"Sci-fi\", \"Realistic Fiction\", \"Historical Fiction\", \"Fairy Tale\"]","[\"Fairy Tale\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4891,768,10,1,"The title of this story gives a hint about:","[\"The plot\", \"A main character\", \"The solution to the problem\", \"The setting\"]","[\"A main character\"]",NULL,3,0,NULL,"2019-11-20 18:57:20","2019-08-29 13:31:46",4
4892,771,2,1,"Based on the details within the passage, how big is Peter?","[\"The size of a squirrel\", \"The size of a car\", \"The size of a tree\", \"The size of an adult human\"]","[\"The size of a squirrel\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4893,768,8,1,"Based on Mother's warning, which word would best replace \"put\" in this phrase: \"he was put in a pie by Mrs. McGregor.\"?","[\"Trapped\", \"Hidden\", \"Cooked\", \"Captured\", \"Wrapped\"]","[\"Cooked\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4894,768,20,1,"How many siblings does Peter Rabbit have?","[\"2\", \"3\", \"4\", \"5\"]","[\"3\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4895,771,8,1,"What is Mr. McGregor trying to do?","[\"Play tag with Peter\", \"Catch Peter\", \"Help Peter escape\", \"Shoo Peter away\"]","[\"Catch Peter\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:46",NULL
4896,771,13,1,"Reread this sentence: \"And tried to put his foot upon Peter, who jumped out of a window, upsetting three plants.\" Which definition of the word \"upsetting\" is used here?","[\"The act of making someone feel bad\", \"Something that is very sad or stressful\", \"Knocking over\", \"Changing or reordering\"]","[\"Knocking over\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4897,768,1,1,"What do you think will happen if the Rabbits children go into Mr. McGregor's garden?","[\"Nothing\", \"They will be captured as pets\", \"They will have the same accident as their father\", \"They will decide to stay there forever\"]","[\"They will have the same accident as their father\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4898,768,3,1,"Where do the Rabbits live?","[\"In a big fir-tree\", \"Underground\", \"On a sand-bank on the beach\", \"In a field\", \"In a lane\"]","[\"Underground\"]",NULL,2,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4899,771,5,4,"How do you think Peter feels during this scene? Select all that apply.","[\"Relaxed\", \"Successful\", \"Lost\", \"Afraid\"]","[\"Lost\", \"Afraid\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:46",NULL
4900,771,24,1,"How would you describe Mr. McGregor in this passage?","[\"A hero\", \"A villain\", \"A sage\", \"As comic relief\"]","[\"A villain\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4901,774,5,4,"Based on the details within the passage, how do you think Peter feels? Select all that apply.","[\"Excited\", \"Frightened\", \"Confused\", \"Amused\"]","[\"Frightened\", \"Confused\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4902,774,20,1,"What is the cat staring at?","[\"The mouse\", \"Goldfish\", \"Peter\", \"Another cat\", \"Benjamin Bunny\"]","[\"Goldfish\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4903,771,8,1,"True or False: Mr. McGregor's job was to hunt Peter.","[\"True\", \"False\"]","[\"False\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4904,774,24,1,"How would you describe Peter?","[\"The villain\", \"The hero\", \"The comic relief\", \"The sage\"]","[\"The hero\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4905,771,12,1,"What kind of figurative language is being used in the phrase, “Kertyschoo”?","[\"Alliteration\", \"Onomatopoeia\", \"Assonance\", \"Homophones\"]","[\"Onomatopoeia\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4906,774,8,1,"What kind of creature is Peter?","[\"A mouse\", \"A cat\", \"A rabbit\", \"A goldfish\", \"A human\"]","[\"A rabbit\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4907,774,8,1,"Why do you think Peter started crying?","[\"Because he felt sad\", \"Because he felt helpless\", \"Because he felt very happy\", \"Because he hurt himself\"]","[\"Because he felt helpless\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4908,771,1,1,"What do you think would happen if Mr. McGregor catches Peter?","[\"Something bad\", \"Something good\", \"Nothing\"]","[\"Something bad\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4909,774,5,1,"How do you think the cat is feeling in this scene?","[\"Playful\", \"Focused\", \"Afraid\", \"Confused\"]","[\"Focused\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4910,774,20,1,"What's Peter's cousin's name?","[\"Beatrice Bunny\", \"Brandon Bunny\", \"Benjamin Bunny\", \"Brook Bunny\"]","[\"Benjamin Bunny\"]",NULL,3,0,NULL,"2019-11-11 15:58:10","2019-08-29 13:31:47",NULL
4911,774,8,1,"What do you think Peter's cousin told him about cats?","[\"That they are friendly\", \"That they are scared of rabbits\", \"That they love rabbits\", \"That they might attack rabbits\"]","[\"That they might attack rabbits\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4912,774,1,1,"What do you think might happen if the cat realized that Peter was there?","[\"It wouldn't care\", \"It would chase him\", \"It would want to become friends\", \"It would help him to find his way out\"]","[\"It would chase him\"]",NULL,3,0,NULL,"2019-08-29 13:37:01","2019-08-29 13:31:47",NULL
4913,769,13,1,"What is a robin?","[\"A type of beatle\", \"A type of bird\", \"A type of butterfly\", \"A type of fly\"]","[\"A type of bird\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:47",NULL
4914,769,20,4,"The key was made of either ______ or ______.","[\"Gold\", \"Iron\", \"Copper\", \"Brass\"]","[\"Iron\", \"Brass\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:47",NULL
4915,769,8,1,"True or False: Mary is excited she found the key.","[\"True\", \"False\"]","[\"True\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-08-29 13:31:47",NULL
